time_start_time_trial,time_end_time_trial,rotation,chart_type,log_error,totalSequence,arc_angle_area,judged_true,ans_percentage_diff,opposite_ans,ans_trial,postID,correct_ans,time_diff_time_trial
1440202436966,,164.05770457349718,Pie Angle Chart,6.025139562278508,65,,65,4.333333333333333,85,80,idmagk6b,15,
1440202441000,1440202443816,68.55985024943948,Pie Chart,0.16992500144231237,66,Arc-Length,-1,-0.01098901098901099,9,90,idmagk6b,91,2816
1440202443818,1440202446849,215.2977767586708,Pie Chart,0.16992500144231237,67,Arc-Length,1,0.1111111111111111,91,10,idmagk6b,9,3031
1440202446850,1440202451549,242.09344656206667,Pie Chart,4.651051691178929,68,Arc-Length,-25,-1,75,Area,idmagk6b,25,4699
1440202451551,1440202456768,288.10561585240066,Donut Chart,0.16992500144231237,69,Arc-Length,-1,-0.01639344262295082,39,60,idmagk6b,61,5217
1440201178725,1440201183756,92.33345772139728,Arc-Length Chart,0.16992500144231237,32,,1,0.014492753623188406,31,70,idmagk6b,69,5031
1440201289234,1440201476605,296.5937119536102,Donut Angle Chart,5.134426320220926,42,,-35,-0.5,30,35,idmagk6b,70,187371
1440201128347,1440201135617,225.26018232107162,Donut Angle Chart,6.342074667999139,24,,-81,-0.9101123595505618,11,8,idmagk6b,89,7270
1440201135618,1440201139065,255.14423458836973,Donut Angle Chart,6.28771237954945,25,,-78,-0.8863636363636364,12,10,idmagk6b,88,3447
1440201139066,1440201147220,174.0406823437661,Donut Angle Chart,6.047123912114026,26,,66,4.714285714285714,86,80,idmagk6b,14,8154
1440201147220,1440201150636,249.8958435561508,Pie Chart,0.16992500144231237,27,,1,0.05263157894736842,81,20,idmagk6b,19,3416
1440201108456,1440201114870,95.38396093994379,Donut Angle Chart,6.047123912114026,20,,66,3.473684210526316,81,85,idmagk6b,19,6414
1440201114871,1440201118742,61.24932445585728,Donut Chart,-3,21,,0,0,95,5,idmagk6b,5,3871
1440201500340,1440201504124,86.92082832567394,Donut Chart,3.3398500028846247,48,,-10,-0.25,60,30,idmagk6b,40,3784
1440201504126,1440201507469,100.46908632852137,Pie Chart,0.16992500144231237,49,,-1,-0.0625,84,15,idmagk6b,16,3343
1440201490598,1440201496442,0.7067640032619238,Donut Angle Chart,3.7142455176661224,46,,13,0.22807017543859648,43,70,idmagk6b,57,5844
1440201123282,1440201128347,37.01029068790376,Area Chart,1.0874628412503393,23,,-2,-0.09090909090909091,78,20,idmagk6b,22,5065
1440201481125,1440201486133,294.6444569528103,Arc-Length Chart,1.6438561897747246,44,,3,0.036585365853658534,18,85,idmagk6b,82,5008
1440201486134,1440201490597,285.48339553177357,Donut Chart,0.16992500144231237,45,,-1,-0.03225806451612903,69,30,idmagk6b,31,4463
1440201150637,1440201156529,255.08477998897433,Area Chart,2.6147098441152083,28,,-6,-0.06976744186046512,14,80,idmagk6b,86,5892
1440201156530,1440201164185,171.3620041217655,Donut Chart,2.0443941193584534,29,,4,0.05263157894736842,24,80,idmagk6b,76,7655
1440201282629,1440201285429,16.679958645254374,Area Chart,1.0874628412503393,40,,-2,-0.024390243902439025,18,80,idmagk6b,82,2800
1440201285430,1440201289233,143.81982534192502,Pie Chart,2.6147098441152083,41,,-6,-0.14634146341463414,59,35,idmagk6b,41,3803
1440200989218,1440200995156,6.382197579368949,Pie Chart,0.16992500144231237,1,Arc-Length,1,0.1111111111111111,91,10,idmagk6b,9,5938
1440201257747,1440201264269,220.4715069103986,Arc-Length Chart,1.0874628412503393,35,,-2,-0.029850746268656716,33,65,idmagk6b,67,6522
1440201002407,1440201007463,91.39210344292223,Donut Chart,0.16992500144231237,3,Arc-Length,-1,-0.01639344262295082,39,60,idmagk6b,61,5056
1440200995157,1440201002407,197.72092496976256,Pie Chart,4.651051691178929,2,Arc-Length,-25,-1,75,Area,idmagk6b,25,7250
1440201010994,,184.00636539794505,Donut Chart,4.651051691178929,5,Arc-Length,-25,-1,75,Area,idmagk6b,25,
1440201007464,1440201010993,91.95676166564226,Donut Chart,1.0874628412503393,4,Arc-Length,-2,-0.05405405405405406,63,35,idmagk6b,37,3529
1440201026117,1440201034926,198.77322337590158,Arc-Length Chart,-3,7,,0,0,79,21,idmagk6b,21,8809
1440201017055,1440201026116,226.7332271207124,Pie Chart,4.651051691178929,6,,-25,-1,75,,idmagk6b,25,9061
1440201042860,1440201045943,318.6999561265111,Pie Chart,4.651051691178929,9,,-25,-1,75,,idmagk6b,25,3083
1440201169026,1440201178724,191.18493556044996,Arc-Length Chart,2.0443941193584534,31,,4,0.06060606060606061,34,70,idmagk6b,66,9698
1440201476608,1440201481123,160.664902953431,Pie Chart,3.0223678130284544,43,,8,0.12903225806451613,38,70,idmagk6b,62,4515
1440201277419,1440201282629,192.8991731442511,Pie Angle Chart,4.813781191217037,39,,28,0.875,68,60,idmagk6b,32,5210
1440201187825,1440201257746,302.26690270006657,Arc-Length Chart,2.357552004618084,34,,-5,-0.0625,20,75,idmagk6b,80,69921
1440201496443,1440201500339,155.88979759253561,Area Chart,2.6147098441152083,47,,-6,-0.11764705882352941,49,45,idmagk6b,51,3896
1440201274104,1440201277418,96.89304230734706,Donut Chart,1.0874628412503393,38,,-2,-0.021739130434782608,8,90,idmagk6b,92,3314
1440201034927,1440201042859,88.03147181868553,Arc-Length Chart,-3,8,,0,0,27,73,idmagk6b,73,7932
1440202461018,,97.59016636759043,Donut Chart,4.651051691178929,71,Arc-Length,-25,-1,75,Area,idmagk6b,25,
1440202456770,1440202461017,168.20305651053786,Donut Chart,1.0874628412503393,70,Arc-Length,-2,-0.05405405405405406,63,35,idmagk6b,37,4247
1440201091643,1440201093222,61.979960789904,Pie Chart,4.651051691178929,15,,-25,-1,75,,idmagk6b,25,1579
1440201086127,1440201091643,347.06892834976315,Donut Angle Chart,5.7582232147267245,14,,-54,-0.6585365853658537,18,28,idmagk6b,82,5516
1440201056080,1440201069519,312.43641117587686,Pie Angle Chart,5.7582232147267245,11,,-54,-0.7012987012987013,23,23,idmagk6b,77,13439
1440201045943,1440201056080,169.31051848456264,Pie Angle Chart,-3,10,,0,0,82,18,idmagk6b,18,10137
1440201073594,1440201086127,91.96209934540093,Donut Angle Chart,-3,13,,0,0,92,8,idmagk6b,8,12533
1440201069519,1440201073593,324.0829539857805,Donut Chart,4.651051691178929,12,,-25,-1,75,,idmagk6b,25,4074
1440202408646,1440202418179,290.0067813601345,Area Chart,3.0223678130284544,59,,-8,-0.21052631578947367,62,30,idmagk6b,38,9533
1440202404282,1440202408645,263.99598207324743,Donut Chart,-3,58,,0,0,75,25,idmagk6b,25,4363
1440201096745,,99.84495992772281,Area Chart,-3,17,,0,0,33,67,idmagk6b,67,
